datetime_mst,vehicleId,speed,latitude,longitude,altitude,heading,vibration
2022-10-03 15:14:43,TK542,9.507340431213379,50.202990,-114.901990,1759,321,5.5
2022-10-03 15:14:43,L17755,5.122257232666016,50.201324,-114.900380,1749,56,5.900000095367432
2022-10-03 15:14:44,TK669,14.428232192993164,50.201374,-114.899790,1746,312,14.300000190734863
2022-10-03 15:14:44,TK544,10.703569412231445,50.202568,-114.899284,1742,259,3.700000047683716
2022-10-03 15:14:44,TK542,9.166153907775879,50.203014,-114.902016,1759,322,3.9000000953674316
2022-10-03 15:14:45,L17755,5.342695713043213,50.201332,-114.900370,1748,57,8.5
2022-10-03 15:14:45,TK669,14.150014877319336,50.201397,-114.899830,1747,311,8.899999618530273
2022-10-03 15:14:45,TK544,10.66821575164795,50.202564,-114.899330,1743,259,6.699999809265137
2022-10-03 15:14:46,TK542,8.762506484985352,50.203033,-114.902040,1759,322,3
2022-10-03 15:14:46,L17755,5.582902431488037,50.201344,-114.900345,1748,55,5
2022-10-03 15:14:46,TK669,14.888513565063477,50.201427,-114.899890,1747,311,4.300000190734863
2022-10-03 15:14:46,TK544,10.696362495422363,50.202557,-114.899376,1743,258,7.099999904632568
2022-10-03 15:14:47,TK542,8.150403022766113,50.203053,-114.902054,1759,322,2.9000000953674316
2022-10-03 15:14:47,L17755,4.592928409576416,50.201350,-114.900330,1748,56,5.199999809265137
2022-10-03 15:14:47,TK669,15.900429725646973,50.201458,-114.899930,1747,312,3.9000000953674316
2022-10-03 15:14:47,TK544,10.9224853515625,50.202553,-114.899420,1743,258,3.5999999046325684
2022-10-03 15:14:48,TK542,7.718453884124756,50.203068,-114.902080,1759,323,2.9000000953674316
2022-10-03 15:14:48,L17755,2.8757219314575195,50.201350,-114.900320,1748,55,3.799999952316284
2022-10-03 15:14:48,TK669,16.730087280273438,50.201492,-114.899990,1747,313,5.099999904632568
2022-10-03 15:14:48,TK544,11.120970726013184,50.202545,-114.899470,1744,257,5
2022-10-03 15:14:49,TK542,7.488086700439453,50.203083,-114.902090,1760,323,3.5
2022-10-03 15:14:49,L17755,1.6873979568481445,50.201355,-114.900320,1748,56,1.2999999523162842
2022-10-03 15:14:49,TK669,17.819381713867188,50.201523,-114.900040,1747,314,7.400000095367432
2022-10-03 15:14:49,TK544,11.297003746032715,50.202538,-114.899510,1744,257,2.0999999046325684
2022-10-03 15:14:50,L17755,1.507708191871643,50.201355,-114.900314,1748,56,2.5
2022-10-03 15:14:50,TK542,7.575070858001709,50.203100,-114.902115,1760,323,3.799999952316284
2022-10-03 15:14:50,TK669,17.87261390686035,50.201560,-114.900090,1748,316,4.400000095367432
2022-10-03 15:14:50,TK544,11.677547454833984,50.202534,-114.899570,1744,258,2.4000000953674316
2022-10-03 15:14:51,L17755,2.985396385192871,50.201363,-114.900300,1748,56,4.800000190734863
2022-10-03 15:14:51,TK542,7.3236775398254395,50.203117,-114.902130,1760,324,2.299999952316284
2022-10-03 15:14:51,TK544,11.90185260772705,50.202526,-114.899610,1745,260,2
2022-10-03 15:14:52,TK669,17.041847229003906,50.201590,-114.900140,1748,317,4
2022-10-03 15:14:52,L17755,4.493082523345947,50.201370,-114.900280,1748,52,8.100000381469727
2022-10-03 15:14:52,TK542,6.892566204071045,50.203133,-114.902145,1760,324,3.0999999046325684
2022-10-03 15:14:53,TK544,12.040640830993652,50.202522,-114.899666,1745,261,3.4000000953674316
2022-10-03 15:14:53,TK669,16.269611358642578,50.201630,-114.900190,1748,318,9.899999618530273
2022-10-03 15:14:53,TK542,6.302570819854736,50.203144,-114.902160,1760,324,2.200000047683716
2022-10-03 15:14:53,L17755,4.646650314331055,50.201378,-114.900270,1748,49,6
